"","Slice","Count","Total Area","Average Size","%Area","Mean","Perim.","Circ.","Solidity","hippo_area","Treatment","Gender"
"287","C2-AD284_6E10_3_CA3.oir",0,0,NA,0,NA,NA,NA,NA,"CA3","SHAM","F"
"288","C2-AD284_6E10_4_CA3.oir",1,44.804,44.804,0.003,255,23.278,1,0.906,"CA3","SHAM","F"
"289","C2-AD073_6E10_6_CA3.oir",9,508.289,56.477,0.031,255,26.208,0.92,0.856,"CA3","SHAM","M"
"290","C2-AD080_6E10_1_CA3.oir",14,607.166,43.369,0.037,255,22.923,0.966,0.887,"CA3","SHAM","F"
"291","C2-AD080_6E10_2_CA3.oir",16,787.926,49.245,0.049,255,22.914,0.929,0.859,"CA3","SHAM","F"
"292","C2-AD073_6E10_1_CA3.oir",3,224.018,74.673,0.014,255,29.765,0.979,0.917,"CA3","SHAM","M"
"293","C2-AD080_6E10_3_CA3.oir",28,2553.806,91.207,0.158,255,28.903,0.96,0.902,"CA3","SHAM","F"
"294","C2-AD080_6E10_4_CA3.oir",17,1234.417,72.613,0.076,255,29.761,0.925,0.896,"CA3","SHAM","F"
"295","C2-AD080_6E10_5_CA3.oir",13,763.206,58.708,0.047,255,25.022,0.918,0.875,"CA3","SHAM","F"
"296","C2-AD080_6E10_6_CA3.oir",2,380.058,190.029,0.023,255,62.501,0.682,0.82,"CA3","SHAM","F"
"297","C2-AD080_6E10_7_CA3.oir",19,1045.933,55.049,0.065,255,24.803,0.958,0.901,"CA3","SHAM","F"
"298","C2-AD085_6E10_1_CA3.oir",0,0,NA,0,NA,NA,NA,NA,"CA3","SHAM","M"
"299","C2-AD085_6E10_2_CA3.oir",0,0,NA,0,NA,NA,NA,NA,"CA3","SHAM","M"
"300","C2-AD085_6E10_3_CA3.oir",0,0,NA,0,NA,NA,NA,NA,"CA3","SHAM","M"
"301","C2-AD085_6E10_4_CA3.oir",0,0,NA,0,NA,NA,NA,NA,"CA3","SHAM","M"
"302","C2-AD085_6E10_5_CA3.oir",0,0,NA,0,NA,NA,NA,NA,"CA3","SHAM","M"
"303","C2-AD085_6E10_6_CA3.oir",0,0,NA,0,NA,NA,NA,NA,"CA3","SHAM","M"
"304","C2-AD073_6E10_2_CA3.oir",5,139.046,27.809,0.009,255,17.688,0.987,0.874,"CA3","SHAM","M"
"305","C2-AD085_6E10_7_CA3.oir",0,0,NA,0,NA,NA,NA,NA,"CA3","SHAM","M"
"306","C2-AD175_6E10_1_CA3.oir",3,199.299,66.433,0.012,255,26.693,0.983,0.89,"CA3","SHAM","F"
"307","C2-AD175_6E10_2_CA3.oir",2,86.517,43.259,0.005,255,22.55,0.977,0.883,"CA3","SHAM","F"
"308","C2-AD175_6E10_3_CA3.oir",2,35.534,17.767,0.002,255,13.912,1,0.859,"CA3","SHAM","F"
"309","C2-AD175_6E10_4_CA3.oir",8,553.093,69.137,0.034,255,26.863,0.939,0.895,"CA3","SHAM","F"
"310","C2-AD175_6E10_5_CA3.oir",2,94.242,47.121,0.006,255,24.308,0.954,0.84,"CA3","SHAM","F"
"311","C2-AD182_6E10_1_CA3.oir",2,26.264,13.132,0.002,255,12.154,1,0.892,"CA3","SHAM","F"
"312","C2-AD182_6E10_2_CA3.oir",4,69.523,17.381,0.004,255,12.957,1,0.953,"CA3","SHAM","F"
"313","C2-AD182_6E10_3_CA3.oir",0,0,NA,0,NA,NA,NA,NA,"CA3","SHAM","F"
"314","C2-AD182_6E10_4_CA3.oir",3,135.956,45.319,0.008,255,23.42,0.994,0.925,"CA3","SHAM","F"
"315","C2-AD182_6E10_5_CA3.oir",3,134.411,44.804,0.008,255,21.864,0.995,0.912,"CA3","SHAM","F"
"316","C2-AD073_6E10_3_CA3.oir",1,12.36,12.36,0.0007629,255,11.275,1,0.941,"CA3","SHAM","M"
"317","C2-AD182_6E10_6_DG.oir",2,74.158,37.079,0.005,255,21.671,0.96,0.879,"DG","SHAM","F"
"318","C2-AD259_6E10_1_DG.oir",6,236.378,39.396,0.015,255,20.692,1,0.917,"DG","SHAM","M"
"319","C2-AD073_6E10_3_DG.oir",2,40.169,20.084,0.002,255,13.912,0.994,0.931,"DG","SHAM","M"
"320","C2-AD259_6E10_2_DG.oir",6,180.759,30.127,0.011,255,17.984,0.998,0.918,"DG","SHAM","M"
"321","C2-AD259_6E10_3_DG.oir",7,282.726,40.389,0.017,255,20.792,0.992,0.877,"DG","SHAM","M"
"322","C2-AD259_6E10_4_DG.oir",7,556.183,79.455,0.034,255,30.596,0.964,0.921,"DG","SHAM","M"
"323","C2-AD259_6E10_5_DG.oir",6,329.075,54.846,0.02,255,25.157,0.943,0.88,"DG","SHAM","M"
"324","C2-AD259_6E10_6_DG.oir",9,495.93,55.103,0.031,255,23.454,0.974,0.909,"DG","SHAM","M"
"325","C2-AD259_6E10_7_DG.oir",5,322.895,64.579,0.02,255,27.934,0.977,0.906,"DG","SHAM","M"
"326","C2-AD259_6E10_8_DG.oir",5,241.013,48.203,0.015,255,23.836,0.952,0.892,"DG","SHAM","M"
"327","C2-AD270_6E10_1_DG.oir",6,268.822,44.804,0.017,255,23.45,0.983,0.893,"DG","SHAM","F"
"328","C2-AD270_6E10_2_DG.oir",7,359.974,51.425,0.022,255,23.884,0.976,0.923,"DG","SHAM","F"
"329","C2-AD270_6E10_3_DG.oir",4,176.125,44.031,0.011,255,21.596,0.979,0.928,"DG","SHAM","F"
"330","C2-AD073_6E10_4_DG.oir",23,2559.986,111.304,0.158,255,41.164,0.756,0.815,"DG","SHAM","M"
"331","C2-AD270_6E10_4_DG.oir",7,573.177,81.882,0.035,255,31.809,0.952,0.908,"DG","SHAM","F"
"332","C2-AD270_6E10_5_DG.oir",6,253.372,42.229,0.016,255,20.692,0.978,0.89,"DG","SHAM","F"
"333","C2-AD270_6E10_6_DG.oir",8,570.087,71.261,0.035,255,27.779,0.972,0.901,"DG","SHAM","F"
"334","C2-AD270_6E10_7_DG.oir",3,108.147,36.049,0.007,255,20.449,0.964,0.898,"DG","SHAM","F"
"335","C2-AD270_6E10_8_DG.oir",8,568.542,71.068,0.035,255,28.711,0.967,0.903,"DG","SHAM","F"
"336","C2-AD273_6E10_1_DG.oir",3,72.613,24.204,0.004,255,15.033,1,0.925,"DG","SHAM","F"
"337","C2-AD273_6E10_2_DG.oir",1,46.349,46.349,0.003,255,23.58,1,0.87,"DG","SHAM","F"
"338","C2-AD273_6E10_3_DG.oir",15,389.328,25.955,0.024,255,16.888,0.992,0.895,"DG","SHAM","F"
"339","C2-AD273_6E10_4_DG.oir",3,114.326,38.109,0.007,255,17.519,0.986,0.974,"DG","SHAM","F"
"340","C2-AD273_6E10_5_DG.oir",2,52.528,26.264,0.003,255,17.791,0.961,0.863,"DG","SHAM","F"
"341","C2-AD073_6E10_5_DG.oir",11,1167.984,106.18,0.072,255,33.485,0.95,0.913,"DG","SHAM","M"
"342","C2-AD273_6E10_6_DG.oir",2,77.248,38.624,0.005,255,20.641,1,0.932,"DG","SHAM","F"
"343","C2-AD273_6E10_7_DG.oir",3,194.664,64.888,0.012,255,28.794,0.949,0.892,"DG","SHAM","F"
"344","C2-AD273_6E10_8_DG.oir",2,98.877,49.438,0.006,255,25.4,0.947,0.884,"DG","SHAM","F"
"345","C2-AD284_6E10_1_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","SHAM","F"
"346","C2-AD284_6E10_2_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","SHAM","F"
"347","C2-AD284_6E10_3_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","SHAM","F"
"348","C2-AD284_6E10_4_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","SHAM","F"
"349","C2-AD073_6E10_6_DG.oir",3,140.591,46.864,0.009,255,23.864,0.998,0.915,"DG","SHAM","M"
"350","C2-AD080_6E10_1_DG.oir",7,588.627,84.09,0.036,255,28.526,0.95,0.913,"DG","SHAM","F"
"351","C2-AD080_6E10_2_DG.oir",18,2116.585,117.588,0.131,255,41.55,0.823,0.881,"DG","SHAM","F"
"352","C2-AD080_6E10_3_DG.oir",28,7876.167,281.292,0.486,255,63.784,0.743,0.829,"DG","SHAM","F"
"353","C2-AD080_6E10_4_DG.oir",14,914.612,65.329,0.056,255,27.868,0.964,0.901,"DG","SHAM","F"
"354","C2-AD080_6E10_5_DG.oir",9,520.649,57.85,0.032,255,26.174,0.943,0.897,"DG","SHAM","F"
"355","C2-AD080_6E10_6_DG.oir",4,546.913,136.728,0.034,255,39.192,0.892,0.902,"DG","SHAM","F"
"356","C2-AD080_6E10_7_DG.oir",9,409.412,45.49,0.025,255,23.116,0.933,0.875,"DG","SHAM","F"
"357","C2-AD085_6E10_1_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","SHAM","M"
"358","C2-AD085_6E10_2_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","SHAM","M"
"359","C2-AD085_6E10_3_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","SHAM","M"
"360","C2-AD085_6E10_4_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","SHAM","M"
"361","C2-AD085_6E10_5_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","SHAM","M"
"362","C2-AD085_6E10_6_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","SHAM","M"
"363","C2-AD085_6E10_7_DG.oir",1,23.174,23.174,0.001,255,16.247,1,0.968,"DG","SHAM","M"
"364","C2-AD175_6E10_1_DG.oir",1,20.084,20.084,0.001,255,15.82,1,0.812,"DG","SHAM","F"
